type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/id,properties/title,properties/description,properties/face,properties/icon/url,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y
Feature,Point,26.1403,44.4695,21478414,Bloc 97,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
Feature,Point,26.14,44.469,21478415,Bloc 98,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
Feature,Point,26.1392,44.4656,21478416,Bloc 99,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1387,44.4662,21478417,"Bloc 100 scara A, B, C",,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.13895,44.46655,21478418,Bloc 101,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.13925,44.4667,21478419,Bloc 102,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1398,44.46695,21478420,Bloc 103,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.14035,44.4672,21478421,Bloc 104,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.14095,44.4674,21478422,Bloc 105,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
Feature,Point,26.14115,44.4676,21478423,Bloc 106,,East,//www.hartablocuri.ro/i/s16.png,19,19,0,0,9.5,9.5
Feature,Point,26.1415,44.46765,21478424,Bloc 107,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
Feature,Point,26.1417,44.46785,21478425,Bloc 108,,East,//www.hartablocuri.ro/i/s16.png,19,19,0,0,9.5,9.5
Feature,Point,26.14205,44.4679,21478426,Bloc 109,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
Feature,Point,26.1425,44.4682,21478427,Bloc 110,,East,//www.hartablocuri.ro/i/s24.png,20,20,0,0,10,10
Feature,Point,26.14325,44.4685,21478428,Bloc 111,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1441,44.4681,21478429,Bloc 112,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.14105,44.467,21478430,Bloc 113,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
Feature,Point,26.1448,44.4677,21478431,Bloc 114A,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1454,44.4674,21478432,Bloc 114B,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.146,44.46705,21478433,Bloc 115,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1465,44.4668,21478434,Bloc 116A,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.14695,44.4665,21478435,Bloc 116B,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1399,44.46515,21478436,Bloc 1,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.14,44.46485,21478437,Bloc 2,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.14035,44.4647,21478438,Bloc 3,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.14095,44.464,21478439,Bloc 4,,East,//www.hartablocuri.ro/i/s28.png,16,16,0,0,8,8
Feature,Point,26.1408,44.46445,21478440,Bloc 5,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1416,44.4647,21478441,Bloc 6,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1412,44.4653,21478442,Bloc 7,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1407,44.4656,21478443,Bloc 8,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.141,44.4647,21478444,Bloc 9,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1422,44.4646,21478445,"Bloc 10 scara 1, 2, 3",,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1424,44.4649,21478446,Bloc 10 scara 4,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.14045,44.4652,21478447,Bloc 11,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1413,44.46585,21478448,Bloc 12,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1416,44.46555,21478449,Bloc 13,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1419,44.46525,21478450,Bloc 14,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.1421,44.4658,21478451,Bloc 15,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1431,44.4647,21478452,Bloc 16,,East,//www.hartablocuri.ro/i/s26.png,20,20,0,0,10,10
Feature,Point,26.1425,44.4642,21478453,Bloc 17,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.143,44.4642,21478454,Bloc 17,,East,//www.hartablocuri.ro/i/s26.png,19,19,0,0,9.5,9.5
Feature,Point,26.14135,44.4636,21478455,Bloc 18,,East,//www.hartablocuri.ro/i/s28.png,16,16,0,0,8,8
Feature,Point,26.1417,44.4638,21478456,Bloc 18A,,East,//www.hartablocuri.ro/i/s28.png,16,16,0,0,8,8
Feature,Point,26.1415,44.4633,21478457,Bloc 18B,,East,//www.hartablocuri.ro/i/s28.png,16,16,0,0,8,8
Feature,Point,26.14235,44.4626,21478458,Bloc 19,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1427,44.4638,21478459,Bloc 20,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.142,44.4635,21478460,Bloc 21,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.14245,44.4632,21478461,Bloc 22,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1429,44.4635,21478462,Bloc 23,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
Feature,Point,26.1437,44.4635,21478463,Bloc 24,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1433,44.463,21478464,Bloc 25,,East,//www.hartablocuri.ro/i/s26.png,16,16,0,0,8,8
