type,geometry/type,longitude,latitude,properties/id,properties/title,properties/description,properties/face,properties/icon/url,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y,distance_miles
Feature,Point,27.6645,46.2172,21590737,M1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1692631073020978
Feature,Point,27.6715,46.2335,21590799,D3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1705833675516921
Feature,Point,27.6641,46.2183,21590566,B7,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1726790016866004
Feature,Point,27.6722,46.234,21590796,D7,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1738047647966878
Feature,Point,27.6698,46.2324,21590754,C1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1761770089624357
Feature,Point,27.6692,46.232,21590688,B1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.180135776388252
Feature,Point,27.664,46.218,21590735,B2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.181050949859092
Feature,Point,27.6739,46.2351,21590811,Z3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1832791963289029
Feature,Point,27.6646,46.2161,21590839,E8,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.184789999725621
Feature,Point,27.6706,46.2332,21590727,K4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.185836173369121
Feature,Point,27.6719,46.2341,21590797,D5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1884331915833402
Feature,Point,27.6643,46.2165,21590835,I3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1907279650599742
Feature,Point,27.6647,46.2156,21590671,E4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1909198061445936
Feature,Point,27.6635,46.2193,21590679,C5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1915335026477871
Feature,Point,27.6648,46.2153,21590672,E5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1932721576560519
Feature,Point,27.6636,46.2183,21590569,C1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1962480382420064
Feature,Point,27.6716,46.2341,21590781,S1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1979286485304739
Feature,Point,27.6634,46.2187,21590680,C6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.2014542427644894
Feature,Point,27.6641,46.2163,21590836,I4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.2037203251029829
Feature,Point,27.6636,46.2177,21590734,P1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.2037979037911182
